Dấu thời gian,"Câu 1. Trong 7 ngày gần nhất, bạn đã bao nhiêu lần cần tìm lại deadline, link nộp bài, cách nộp hoặc lịch học của khóa?",Câu 2. Lần gần nhất bạn cần tìm một thông tin như vậy là thông tin gì?,"Câu 3. Lần đó, bạn đã làm gì đầu tiên để tìm thông tin?",Câu 4. Bạn mất khoảng bao lâu để tìm được câu trả lời mà bạn cảm thấy đủ chắc chắn?,Câu 5. Bạn có phải mở hoặc kiểm tra nhiều hơn một nguồn trước khi tin câu trả lời không?,"Câu 6. Trong 1 tháng gần nhất, bạn có từng gặp hai thông báo hoặc hai câu trả lời khác nhau về cùng một deadline, link hoặc cách nộp không?","Câu 7. Nếu đã từng gặp thông tin mâu thuẫn, lần gần nhất bạn đã xử lý như thế nào?","Câu 8. Trong 1 tháng gần nhất, bạn có từng phải hỏi lại TA hoặc bạn học chỉ để xác nhận một thông tin logistics không?",Câu 9. Bạn từng gặp hậu quả nào vì không tìm được hoặc hiểu sai thông tin logistics?,"Câu 10. Khi nhận một câu trả lời về deadline từ chatbot hoặc AI, điều gì khiến bạn tin câu trả lời đó nhất?","Câu 11. Nếu hệ thống không tìm thấy nguồn chính thức rõ ràng, bạn muốn nó làm gì?","Câu 12. Hãy kể ngắn gọn lần gần nhất bạn mất thời gian hoặc bối rối vì deadline, link hoặc cách nộp của khóa."
16/09/2026 19:05:30,3–5 lần,Cách nộp bài,Tìm trên LMS / hệ thống học tập,5–10 phút,"Có, thường phải kiểm tra 2 nguồn",2–3 lần,,1–2 lần,"Phải hỏi lại nhiều người, Nộp bài muộn",Có trích đoạn từ nguồn chính thức,Báo rằng chưa chắc chắn và chuyển câu hỏi cho TA,
16/09/2026 19:05:52,Trên 10 lần,Yêu cầu của bài tập,Tìm lại trong Discord / nhóm chat,5–10 phút,"Có, thường phải kiểm tra 2 nguồn",2–3 lần,,1–2 lần,"Mất thời gian tìm kiếm, Phải hỏi lại nhiều người, Nộp bài sát deadline, Nộp bài sai chỗ, Nộp bài muộn, Lo lắng vì không chắc thông tin",Có trích đoạn từ nguồn chính thức,Đưa ra câu trả lời dự đoán nhưng có cảnh báo,
16/09/2026 19:06:19,1–2 lần,Cách nộp bài,Tìm lại trong Discord / nhóm chat,10–20 phút,"Có, thường phải kiểm tra 2 nguồn",1 lần,,1–2 lần,Nộp bài sát deadline,Có xác nhận của TA / BTC,Đưa ra câu trả lời dự đoán nhưng có cảnh báo,
16/09/2026 19:06:56,6–10 lần,Link nộp bài,Tìm trong tài liệu hoặc slide,10–20 phút,Không,2–3 lần,,Chưa từng,Nộp bài sai chỗ,Có nhiều người đưa ra cùng một câu trả lời,Đưa ra câu trả lời dự đoán nhưng có cảnh báo,
16/09/2026 19:07:17,3–5 lần,Link nộp bài,Tìm lại trong Discord / nhóm chat,10–20 phút,"Có, thường phải kiểm tra 2 nguồn",2–3 lần,,Chưa từng,Phải hỏi lại nhiều người,Có trích đoạn từ nguồn chính thức,Báo rằng chưa chắc chắn và chuyển câu hỏi cho TA,
16/09/2026 19:07:39,3–5 lần,Lịch học,Tìm trên LMS / hệ thống học tập,1–5 phút,"Có, thường phải kiểm tra 2 nguồn",1 lần,,1–2 lần,Nộp bài sai chỗ,Có xác nhận của TA / BTC,Hỏi thêm thông tin để làm rõ câu hỏi,
16/09/2026 19:07:42,6–10 lần,Deadline,Tìm lại trong Discord / nhóm chat,5–10 phút,"Có, thường phải kiểm tra 2 nguồn",2–3 lần,,Chưa từng,"Mất thời gian tìm kiếm, Nộp bài sát deadline, Nộp bài sai chỗ",Có trích đoạn từ nguồn chính thức,Hỏi thêm thông tin để làm rõ câu hỏi,
16/09/2026 19:07:44,3–5 lần,Link nộp bài,Tìm trên LMS / hệ thống học tập,5–10 phút,"Có, thường phải kiểm tra 2 nguồn",2–3 lần,Hỏi AI,1–2 lần,Nộp bài sát deadline,Có link dẫn tới nguồn chính thức,Đưa ra câu trả lời dự đoán nhưng có cảnh báo,Loay hoay cách làm bài
16/09/2026 19:07:51,6–10 lần,Cách nộp bài,Tìm trên LMS / hệ thống học tập,5–10 phút,"Có, thường phải kiểm tra từ 3 nguồn trở lên",1 lần,,3–5 lần,"Phải hỏi lại nhiều người, Nộp bài sai chỗ, Nộp bài muộn, Lo lắng vì không chắc thông tin",Có xác nhận của TA / BTC,Báo rằng chưa chắc chắn và chuyển câu hỏi cho TA,
16/09/2026 19:07:55,6–10 lần,Link nộp bài,Tìm trong tài liệu hoặc slide,10–20 phút,"Có, thường phải kiểm tra từ 3 nguồn trở lên",1 lần,,3–5 lần,Nộp bài sai chỗ,Có nhiều người đưa ra cùng một câu trả lời,Đưa ra câu trả lời dự đoán nhưng có cảnh báo,
